City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,caleta de carquin,-11.0925,-77.6267,19.39,83,100,3.73,PE,1699622466
350,oroqen zizhiqi,50.5667,123.7167,-14.28,86,12,1.61,CN,1699622467
351,mhamid,29.82,-5.72,27.87,12,5,1.2,MA,1699622468
352,pitea,65.3172,21.4794,-0.95,95,88,2.86,SE,1699622469
353,kangding,30.0513,101.9603,8.58,97,100,1.46,CN,1699622470
354,monrovia,6.3005,-10.7969,30.87,79,84,2.85,LR,1699622471
355,cabo san lucas,22.8909,-109.9124,24.31,90,0,3.6,MX,1699622463
356,luanda,-8.8368,13.2343,27.0,78,75,4.63,AO,1699622000
357,pohang,36.0322,129.365,5.76,41,0,3.55,KR,1699622474
358,ust'-kut,56.7938,105.7672,-13.65,93,95,0.45,RU,1699622474
359,alo,7.4178,6.7371,34.85,46,96,0.7,NG,1699622475
360,al ghayzah,16.2079,52.176,28.8,58,11,4.63,YE,1699622476
